"CustomerID","Cluster","Segment"
12709,"4","Champions"
12710,"3","Potential Loyalists"
12712,"3","Potential Loyalists"
12713,"3","Potential Loyalists"
12714,"3","Potential Loyalists"
12715,"3","Potential Loyalists"
12716,"3","Potential Loyalists"
12717,"1","Average Customers"
12718,"3","Potential Loyalists"
12719,"3","Potential Loyalists"
12720,"4","Champions"
12721,"3","Potential Loyalists"
12722,"3","Potential Loyalists"
12723,"3","Potential Loyalists"
12724,"3","Potential Loyalists"
12725,"1","Average Customers"
12726,"3","Potential Loyalists"
12727,"3","Potential Loyalists"
12728,"3","Potential Loyalists"
12729,"3","Potential Loyalists"
12731,"4","Champions"
12732,"1","Average Customers"
12733,"1","Average Customers"
12734,"1","Average Customers"
12735,"1","Average Customers"
12736,"1","Average Customers"
12738,"1","Average Customers"
12739,"3","Potential Loyalists"
12740,"3","Potential Loyalists"
12743,"3","Potential Loyalists"
12744,"4","Champions"
12747,"3","Potential Loyalists"
12748,"2","Champions"
12749,"3","Potential Loyalists"
12750,"3","Potential Loyalists"
12752,"3","Potential Loyalists"
12753,"3","Potential Loyalists"
12754,"1","Average Customers"
12755,"1","Average Customers"
12756,"3","Potential Loyalists"
12757,"4","Champions"
12758,"3","Potential Loyalists"
12759,"3","Potential Loyalists"
12762,"3","Potential Loyalists"
12763,"3","Potential Loyalists"
12764,"1","Average Customers"
12766,"3","Potential Loyalists"
12769,"1","Average Customers"
12770,"1","Average Customers"
12772,"3","Potential Loyalists"
12775,"3","Potential Loyalists"
12778,"3","Potential Loyalists"
12779,"3","Potential Loyalists"
12781,"3","Potential Loyalists"
12782,"3","Potential Loyalists"
12783,"3","Potential Loyalists"
12784,"3","Potential Loyalists"
12785,"1","Average Customers"
12787,"3","Potential Loyalists"
12789,"3","Potential Loyalists"
12790,"1","Average Customers"
12791,"1","Average Customers"
12792,"1","Average Customers"
12793,"1","Average Customers"
12794,"3","Potential Loyalists"
12795,"3","Potential Loyalists"
12797,"1","Average Customers"
12798,"3","Potential Loyalists"
12802,"1","Average Customers"
12808,"3","Potential Loyalists"
12809,"1","Average Customers"
12811,"1","Average Customers"
12812,"3","Potential Loyalists"
12814,"3","Potential Loyalists"
12815,"1","Average Customers"
12816,"3","Potential Loyalists"
12817,"1","Average Customers"
12818,"1","Average Customers"
12820,"3","Potential Loyalists"
12821,"1","Average Customers"
12822,"3","Potential Loyalists"
12823,"3","Potential Loyalists"
12824,"3","Potential Loyalists"
12826,"3","Potential Loyalists"
12827,"3","Potential Loyalists"
12828,"3","Potential Loyalists"
12829,"1","Average Customers"
12830,"3","Potential Loyalists"
12831,"1","Average Customers"
12832,"3","Potential Loyalists"
12833,"1","Average Customers"
12834,"1","Average Customers"
12836,"3","Potential Loyalists"
12837,"1","Average Customers"
12838,"3","Potential Loyalists"
12839,"4","Champions"
12840,"3","Potential Loyalists"
12841,"4","Champions"
12842,"3","Potential Loyalists"
12843,"3","Potential Loyalists"
12844,"3","Potential Loyalists"
12845,"1","Average Customers"
12847,"3","Potential Loyalists"
12849,"3","Potential Loyalists"
12851,"3","Potential Loyalists"
12852,"1","Average Customers"
12853,"3","Potential Loyalists"
12854,"3","Potential Loyalists"
12855,"1","Average Customers"
12856,"3","Potential Loyalists"
12857,"1","Average Customers"
12863,"3","Potential Loyalists"
12864,"3","Potential Loyalists"
12865,"3","Potential Loyalists"
12866,"1","Average Customers"
12867,"3","Potential Loyalists"
12868,"1","Average Customers"
12871,"3","Potential Loyalists"
12872,"1","Average Customers"
12873,"1","Average Customers"
12875,"3","Potential Loyalists"
12876,"3","Potential Loyalists"
12877,"3","Potential Loyalists"
12878,"1","Average Customers"
12879,"3","Potential Loyalists"
12881,"1","Average Customers"
12882,"3","Potential Loyalists"
12883,"3","Potential Loyalists"
12884,"3","Potential Loyalists"
12885,"3","Potential Loyalists"
12886,"3","Potential Loyalists"
12888,"1","Average Customers"
12890,"3","Potential Loyalists"
12891,"1","Average Customers"
12893,"3","Potential Loyalists"
12895,"3","Potential Loyalists"
12897,"1","Average Customers"
12901,"4","Champions"
12902,"1","Average Customers"
12904,"3","Potential Loyalists"
12906,"3","Potential Loyalists"
12908,"1","Average Customers"
12909,"3","Potential Loyalists"
12910,"3","Potential Loyalists"
12912,"3","Potential Loyalists"
12913,"3","Potential Loyalists"
12915,"1","Average Customers"
12916,"3","Potential Loyalists"
12917,"3","Potential Loyalists"
12919,"3","Potential Loyalists"
12920,"3","Potential Loyalists"
12921,"4","Champions"
12922,"1","Average Customers"
12923,"3","Potential Loyalists"
12924,"3","Potential Loyalists"
12925,"3","Potential Loyalists"
12928,"3","Potential Loyalists"
12929,"1","Average Customers"
12930,"3","Potential Loyalists"
12931,"4","Champions"
12933,"3","Potential Loyalists"
12935,"3","Potential Loyalists"
12936,"3","Potential Loyalists"
12937,"3","Potential Loyalists"
12938,"3","Potential Loyalists"
12939,"3","Potential Loyalists"
12940,"3","Potential Loyalists"
12942,"3","Potential Loyalists"
12944,"3","Potential Loyalists"
12945,"1","Average Customers"
12947,"3","Potential Loyalists"
12948,"3","Potential Loyalists"
12949,"3","Potential Loyalists"
12950,"3","Potential Loyalists"
12951,"3","Potential Loyalists"
12952,"3","Potential Loyalists"
12953,"3","Potential Loyalists"
12955,"3","Potential Loyalists"
12956,"1","Average Customers"
12957,"3","Potential Loyalists"
12962,"3","Potential Loyalists"
12963,"3","Potential Loyalists"
12965,"3","Potential Loyalists"
12966,"3","Potential Loyalists"
12967,"1","Average Customers"
12968,"3","Potential Loyalists"
12970,"3","Potential Loyalists"
12971,"4","Champions"
12974,"1","Average Customers"
12976,"1","Average Customers"
12977,"1","Average Customers"
12980,"3","Potential Loyalists"
12981,"3","Potential Loyalists"
12982,"1","Average Customers"
12984,"3","Potential Loyalists"
12985,"3","Potential Loyalists"
12987,"3","Potential Loyalists"
12988,"1","Average Customers"
12989,"4","Champions"
12990,"3","Potential Loyalists"
12991,"3","Potential Loyalists"
12993,"3","Potential Loyalists"
12994,"3","Potential Loyalists"
12995,"3","Potential Loyalists"
12997,"3","Potential Loyalists"
12999,"1","Average Customers"
13000,"3","Potential Loyalists"
13001,"4","Champions"
13002,"1","Average Customers"
13003,"3","Potential Loyalists"
13004,"4","Champions"
13005,"1","Average Customers"
13006,"3","Potential Loyalists"
13008,"1","Average Customers"
13011,"1","Average Customers"
13012,"3","Potential Loyalists"
13013,"3","Potential Loyalists"
13014,"3","Potential Loyalists"
13015,"3","Potential Loyalists"
13016,"3","Potential Loyalists"
13017,"3","Potential Loyalists"
13018,"4","Champions"
13021,"3","Potential Loyalists"
13023,"3","Potential Loyalists"
13026,"3","Potential Loyalists"
13027,"3","Potential Loyalists"
13028,"3","Potential Loyalists"
13029,"3","Potential Loyalists"
13030,"3","Potential Loyalists"
13032,"3","Potential Loyalists"
13033,"1","Average Customers"
13034,"3","Potential Loyalists"
13035,"3","Potential Loyalists"
13037,"3","Potential Loyalists"
13038,"3","Potential Loyalists"
13040,"3","Potential Loyalists"
13043,"1","Average Customers"
13044,"1","Average Customers"
13045,"3","Potential Loyalists"
13046,"3","Potential Loyalists"
13047,"3","Potential Loyalists"
13048,"3","Potential Loyalists"
13049,"3","Potential Loyalists"
13050,"4","Champions"
13052,"1","Average Customers"
13055,"3","Potential Loyalists"
13058,"3","Potential Loyalists"
13059,"1","Average Customers"
13060,"1","Average Customers"
13061,"3","Potential Loyalists"
13062,"1","Average Customers"
13064,"3","Potential Loyalists"
13065,"1","Average Customers"
13066,"3","Potential Loyalists"
13067,"3","Potential Loyalists"
13068,"3","Potential Loyalists"
13069,"4","Champions"
13070,"1","Average Customers"
13072,"1","Average Customers"
13075,"3","Potential Loyalists"
13077,"3","Potential Loyalists"
13078,"4","Champions"
13079,"3","Potential Loyalists"
13080,"1","Average Customers"
13081,"4","Champions"
13082,"3","Potential Loyalists"
13083,"3","Potential Loyalists"
13085,"1","Average Customers"
13089,"2","Champions"
13090,"4","Champions"
13091,"3","Potential Loyalists"
13092,"3","Potential Loyalists"
13093,"1","Average Customers"
13094,"3","Potential Loyalists"
13095,"3","Potential Loyalists"
13097,"3","Potential Loyalists"
13098,"4","Champions"
13099,"3","Potential Loyalists"
13101,"1","Average Customers"
13102,"4","Champions"
13103,"3","Potential Loyalists"
13104,"3","Potential Loyalists"
13106,"3","Potential Loyalists"
13107,"3","Potential Loyalists"
13108,"1","Average Customers"
13109,"3","Potential Loyalists"
13110,"3","Potential Loyalists"
13113,"4","Champions"
13115,"3","Potential Loyalists"
13116,"3","Potential Loyalists"
13117,"3","Potential Loyalists"
13118,"3","Potential Loyalists"
13120,"1","Average Customers"
13121,"1","Average Customers"
13122,"3","Potential Loyalists"
13124,"3","Potential Loyalists"
13126,"3","Potential Loyalists"
13127,"3","Potential Loyalists"
13130,"3","Potential Loyalists"
13131,"3","Potential Loyalists"
13132,"1","Average Customers"
13133,"1","Average Customers"
13134,"3","Potential Loyalists"
13135,"1","Average Customers"
13136,"3","Potential Loyalists"
13137,"3","Potential Loyalists"
13138,"3","Potential Loyalists"
13139,"3","Potential Loyalists"
13140,"3","Potential Loyalists"
13141,"3","Potential Loyalists"
13142,"3","Potential Loyalists"
13144,"1","Average Customers"
13145,"3","Potential Loyalists"
13146,"3","Potential Loyalists"
13147,"3","Potential Loyalists"
13148,"3","Potential Loyalists"
13149,"3","Potential Loyalists"
13151,"1","Average Customers"
13153,"3","Potential Loyalists"
13155,"3","Potential Loyalists"
13157,"3","Potential Loyalists"
13158,"3","Potential Loyalists"
13159,"3","Potential Loyalists"
13160,"3","Potential Loyalists"
13161,"1","Average Customers"
13162,"3","Potential Loyalists"
13165,"3","Potential Loyalists"
13166,"1","Average Customers"
13167,"3","Potential Loyalists"
13168,"3","Potential Loyalists"
13169,"3","Potential Loyalists"
13170,"3","Potential Loyalists"
13171,"3","Potential Loyalists"
13173,"3","Potential Loyalists"
13174,"3","Potential Loyalists"
13176,"3","Potential Loyalists"
13177,"3","Potential Loyalists"
13178,"3","Potential Loyalists"
13182,"3","Potential Loyalists"
13183,"3","Potential Loyalists"
13184,"3","Potential Loyalists"
13185,"1","Average Customers"
13186,"3","Potential Loyalists"
13187,"1","Average Customers"
13188,"3","Potential Loyalists"
13189,"3","Potential Loyalists"
13192,"3","Potential Loyalists"
13193,"3","Potential Loyalists"
13194,"3","Potential Loyalists"
13196,"3","Potential Loyalists"
13198,"3","Potential Loyalists"
13199,"4","Champions"
13200,"3","Potential Loyalists"
13203,"3","Potential Loyalists"
13207,"3","Potential Loyalists"
13208,"3","Potential Loyalists"
13209,"3","Potential Loyalists"
13210,"3","Potential Loyalists"
13211,"3","Potential Loyalists"
13212,"3","Potential Loyalists"
13213,"3","Potential Loyalists"
13216,"1","Average Customers"
13217,"3","Potential Loyalists"
13218,"3","Potential Loyalists"
13220,"3","Potential Loyalists"
13221,"1","Average Customers"
13223,"1","Average Customers"
13224,"3","Potential Loyalists"
13225,"3","Potential Loyalists"
13226,"1","Average Customers"
13227,"1","Average Customers"
13228,"3","Potential Loyalists"
13229,"1","Average Customers"
13230,"3","Potential Loyalists"
13232,"3","Potential Loyalists"
13233,"3","Potential Loyalists"
13235,"1","Average Customers"
13236,"3","Potential Loyalists"
13238,"3","Potential Loyalists"
13239,"1","Average Customers"
13240,"3","Potential Loyalists"
13242,"3","Potential Loyalists"
13243,"1","Average Customers"
13244,"3","Potential Loyalists"
13245,"3","Potential Loyalists"
13246,"3","Potential Loyalists"
13247,"3","Potential Loyalists"
13248,"3","Potential Loyalists"
13249,"3","Potential Loyalists"
13253,"1","Average Customers"
13255,"3","Potential Loyalists"
13258,"3","Potential Loyalists"
13259,"3","Potential Loyalists"
13260,"3","Potential Loyalists"
13261,"1","Average Customers"
13262,"1","Average Customers"
13263,"4","Champions"
13265,"3","Potential Loyalists"
13266,"3","Potential Loyalists"
13267,"4","Champions"
13268,"3","Potential Loyalists"
13269,"4","Champions"
13270,"1","Average Customers"
13271,"3","Potential Loyalists"
13272,"3","Potential Loyalists"
13273,"3","Potential Loyalists"
13276,"3","Potential Loyalists"
13277,"3","Potential Loyalists"
13278,"3","Potential Loyalists"
13279,"3","Potential Loyalists"
13280,"3","Potential Loyalists"
13282,"3","Potential Loyalists"
13283,"3","Potential Loyalists"
13284,"1","Average Customers"
13285,"3","Potential Loyalists"
13291,"1","Average Customers"
13292,"3","Potential Loyalists"
13294,"1","Average Customers"
13295,"1","Average Customers"
13296,"3","Potential Loyalists"
13297,"3","Potential Loyalists"
13298,"3","Potential Loyalists"
13299,"1","Average Customers"
13300,"1","Average Customers"
13301,"3","Potential Loyalists"
13302,"1","Average Customers"
13304,"1","Average Customers"
13305,"3","Potential Loyalists"
13307,"3","Potential Loyalists"
13308,"3","Potential Loyalists"
13309,"3","Potential Loyalists"
13310,"3","Potential Loyalists"
13311,"3","Potential Loyalists"
13313,"3","Potential Loyalists"
13314,"3","Potential Loyalists"
13316,"3","Potential Loyalists"
13317,"3","Potential Loyalists"
13318,"3","Potential Loyalists"
13319,"4","Champions"
13320,"3","Potential Loyalists"
13321,"3","Potential Loyalists"
13322,"3","Potential Loyalists"
13323,"3","Potential Loyalists"
13324,"3","Potential Loyalists"
13325,"3","Potential Loyalists"
13327,"3","Potential Loyalists"
13328,"1","Average Customers"
13329,"3","Potential Loyalists"
13330,"3","Potential Loyalists"
13332,"3","Potential Loyalists"
13334,"3","Potential Loyalists"
13336,"3","Potential Loyalists"
13338,"1","Average Customers"
13339,"1","Average Customers"
13340,"3","Potential Loyalists"
13341,"1","Average Customers"
13343,"1","Average Customers"
13344,"3","Potential Loyalists"
13345,"1","Average Customers"
13347,"3","Potential Loyalists"
13348,"3","Potential Loyalists"
13349,"3","Potential Loyalists"
13350,"3","Potential Loyalists"
13351,"3","Potential Loyalists"
13352,"3","Potential Loyalists"
13354,"3","Potential Loyalists"
13355,"3","Potential Loyalists"
13356,"3","Potential Loyalists"
13357,"1","Average Customers"
13358,"1","Average Customers"
13359,"3","Potential Loyalists"
13362,"3","Potential Loyalists"
13363,"3","Potential Loyalists"
13364,"3","Potential Loyalists"
13365,"3","Potential Loyalists"
13366,"3","Potential Loyalists"
13368,"1","Average Customers"
13369,"1","Average Customers"
13370,"1","Average Customers"
13372,"3","Potential Loyalists"
13373,"3","Potential Loyalists"
13375,"3","Potential Loyalists"
13376,"3","Potential Loyalists"
13379,"3","Potential Loyalists"
13381,"3","Potential Loyalists"
13382,"1","Average Customers"
13384,"3","Potential Loyalists"
13385,"1","Average Customers"
13388,"3","Potential Loyalists"
13389,"3","Potential Loyalists"
13390,"3","Potential Loyalists"
13391,"1","Average Customers"
13394,"3","Potential Loyalists"
13395,"1","Average Customers"
13396,"3","Potential Loyalists"
13397,"3","Potential Loyalists"
13398,"1","Average Customers"
13402,"3","Potential Loyalists"
13403,"3","Potential Loyalists"
13404,"3","Potential Loyalists"
13405,"3","Potential Loyalists"
13408,"4","Champions"
13410,"3","Potential Loyalists"
13411,"3","Potential Loyalists"
13414,"3","Potential Loyalists"
13416,"3","Potential Loyalists"
13417,"3","Potential Loyalists"
13418,"4","Champions"
13419,"3","Potential Loyalists"
13420,"1","Average Customers"
13421,"3","Potential Loyalists"
13422,"3","Potential Loyalists"
13425,"3","Potential Loyalists"
13426,"3","Potential Loyalists"
13427,"3","Potential Loyalists"
13428,"3","Potential Loyalists"
13429,"3","Potential Loyalists"
13430,"3","Potential Loyalists"
13431,"3","Potential Loyalists"
13434,"3","Potential Loyalists"
13435,"3","Potential Loyalists"
13436,"3","Potential Loyalists"
13437,"3","Potential Loyalists"
13439,"1","Average Customers"
13441,"3","Potential Loyalists"
13447,"3","Potential Loyalists"
13448,"3","Potential Loyalists"
13449,"3","Potential Loyalists"
13450,"3","Potential Loyalists"
13451,"3","Potential Loyalists"
13452,"1","Average Customers"
13453,"1","Average Customers"
13455,"3","Potential Loyalists"
13456,"3","Potential Loyalists"
13458,"4","Champions"
13460,"3","Potential Loyalists"
13461,"3","Potential Loyalists"
13462,"1","Average Customers"
13464,"3","Potential Loyalists"
13466,"1","Average Customers"
13467,"3","Potential Loyalists"
13468,"4","Champions"
13470,"3","Potential Loyalists"
13471,"3","Potential Loyalists"
13473,"3","Potential Loyalists"
13474,"1","Average Customers"
13475,"1","Average Customers"
13476,"1","Average Customers"
13477,"3","Potential Loyalists"
13479,"1","Average Customers"
13481,"3","Potential Loyalists"
13482,"1","Average Customers"
13483,"3","Potential Loyalists"
13484,"1","Average Customers"
13485,"1","Average Customers"
13486,"3","Potential Loyalists"
13487,"3","Potential Loyalists"
13488,"4","Champions"
13489,"3","Potential Loyalists"
13491,"3","Potential Loyalists"
13492,"3","Potential Loyalists"
13493,"1","Average Customers"
13494,"1","Average Customers"
13495,"3","Potential Loyalists"
13496,"3","Potential Loyalists"
13497,"1","Average Customers"
13499,"3","Potential Loyalists"
13500,"3","Potential Loyalists"
13501,"1","Average Customers"
13502,"3","Potential Loyalists"
13503,"3","Potential Loyalists"
13504,"3","Potential Loyalists"
13505,"3","Potential Loyalists"
13506,"1","Average Customers"
13507,"3","Potential Loyalists"
13508,"1","Average Customers"
13509,"3","Potential Loyalists"
13510,"3","Potential Loyalists"
13512,"1","Average Customers"
13513,"3","Potential Loyalists"
13514,"3","Potential Loyalists"
13515,"3","Potential Loyalists"
13516,"3","Potential Loyalists"
13517,"3","Potential Loyalists"
13518,"3","Potential Loyalists"
13519,"3","Potential Loyalists"
13520,"3","Potential Loyalists"
13521,"3","Potential Loyalists"
13522,"3","Potential Loyalists"
13523,"3","Potential Loyalists"
13524,"3","Potential Loyalists"
13525,"3","Potential Loyalists"
13527,"3","Potential Loyalists"
13529,"3","Potential Loyalists"
13531,"1","Average Customers"
13532,"3","Potential Loyalists"
13533,"1","Average Customers"
13534,"4","Champions"
13536,"3","Potential Loyalists"
13538,"3","Potential Loyalists"
13539,"3","Potential Loyalists"
13544,"3","Potential Loyalists"
13546,"3","Potential Loyalists"
13548,"3","Potential Loyalists"
13549,"3","Potential Loyalists"
13551,"1","Average Customers"
13552,"3","Potential Loyalists"
13555,"3","Potential Loyalists"
13557,"3","Potential Loyalists"
13558,"3","Potential Loyalists"
13560,"3","Potential Loyalists"
13561,"1","Average Customers"
13562,"3","Potential Loyalists"
13563,"3","Potential Loyalists"
13564,"3","Potential Loyalists"
13565,"3","Potential Loyalists"
13566,"3","Potential Loyalists"
13568,"1","Average Customers"
13569,"3","Potential Loyalists"
13570,"1","Average Customers"
13571,"3","Potential Loyalists"
13572,"1","Average Customers"
13573,"3","Potential Loyalists"
13575,"3","Potential Loyalists"
13576,"4","Champions"
13577,"3","Potential Loyalists"
13579,"3","Potential Loyalists"
13581,"1","Average Customers"
13583,"1","Average Customers"
13584,"1","Average Customers"
13587,"3","Potential Loyalists"
13588,"3","Potential Loyalists"
13589,"3","Potential Loyalists"
13590,"3","Potential Loyalists"
